Date,Value
Tuesday 31 October 2023,19.155 MDL
Monday 30 October 2023,19.221 MDL
Sunday 29 October 2023,19.113 MDL
Saturday 28 October 2023,19.200 MDL
Friday 27 October 2023,19.201 MDL
Thursday 26 October 2023,19.069 MDL
Wednesday 25 October 2023,19.069 MDL
Tuesday 24 October 2023,19.198 MDL
Monday 23 October 2023,19.400 MDL
Sunday 22 October 2023,19.278 MDL
Saturday 21 October 2023,19.297 MDL
Friday 20 October 2023,19.336 MDL
Thursday 19 October 2023,19.214 MDL
Wednesday 18 October 2023,19.061 MDL
Tuesday 17 October 2023,19.133 MDL
Monday 16 October 2023,19.058 MDL
Sunday 15 October 2023,19.002 MDL
Saturday 14 October 2023,18.923 MDL
Friday 13 October 2023,18.923 MDL
Thursday 12 October 2023,19.027 MDL
Wednesday 11 October 2023,19.255 MDL
Tuesday 10 October 2023,19.232 MDL
Monday 9 October 2023,19.235 MDL
Sunday 8 October 2023,19.162 MDL
Saturday 7 October 2023,19.226 MDL
Friday 6 October 2023,19.238 MDL
Thursday 5 October 2023,19.185 MDL
Wednesday 4 October 2023,19.092 MDL
Tuesday 3 October 2023,19.032 MDL
Monday 2 October 2023,19.061 MDL
Sunday 1 October 2023,19.295 MDL
