Date,Value
31 October 2023,19.155 MDL
30 October 2023,19.221 MDL
29 October 2023,19.113 MDL
28 October 2023,19.200 MDL
27 October 2023,19.201 MDL
26 October 2023,19.069 MDL
25 October 2023,19.069 MDL
24 October 2023,19.198 MDL
23 October 2023,19.400 MDL
22 October 2023,19.278 MDL
21 October 2023,19.297 MDL
20 October 2023,19.336 MDL
19 October 2023,19.214 MDL
18 October 2023,19.061 MDL
17 October 2023,19.133 MDL
16 October 2023,19.058 MDL
15 October 2023,19.002 MDL
14 October 2023,18.923 MDL
13 October 2023,18.923 MDL
12 October 2023,19.027 MDL
11 October 2023,19.255 MDL
10 October 2023,19.232 MDL
09 October 2023,19.235 MDL
08 October 2023,19.162 MDL
07 October 2023,19.226 MDL
06 October 2023,19.238 MDL
05 October 2023,19.185 MDL
04 October 2023,19.092 MDL
03 October 2023,19.032 MDL
02 October 2023,19.061 MDL
01 October 2023,19.295 MDL
01 October 2023,19.15 MDL
02 October 2023,19.02 MDL
03 October 2023,18.83 MDL
04 October 2023,18.79 MDL
05 October 2023,18.84 MDL
06 October 2023,18.88 MDL
07 October 2023,18.98 MDL
08 October 2023,18.90 MDL
09 October 2023,18.88 MDL
10 October 2023,18.99 MDL
11 October 2023,19.01 MDL
12 October 2023,19.01 MDL
13 October 2023,18.77 MDL
14 October 2023,18.70 MDL
15 October 2023,18.75 MDL
16 October 2023,18.73 MDL
17 October 2023,18.80 MDL
18 October 2023,18.88 MDL
19 October 2023,18.89 MDL
20 October 2023,18.99 MDL
21 October 2023,19.05 MDL
22 October 2023,19.18 MDL
23 October 2023,18.98 MDL
24 October 2023,19.14 MDL
25 October 2023,18.97 MDL
26 October 2023,18.84 MDL
27 October 2023,18.82 MDL
28 October 2023,18.92 MDL
29 October 2023,19.03 MDL
30 October 2023,18.83 MDL
31 October 2023,19.06 MDL
01 October 2023,19.1338 MDL
02 October 2023,19.3620 MDL
03 October 2023,19.2155 MDL
04 October 2023,19.0855 MDL
05 October 2023,19.1420 MDL
06 October 2023,19.1833 MDL
07 October 2023,19.1833 MDL
08 October 2023,19.1833 MDL
09 October 2023,19.2357 MDL
10 October 2023,19.2140 MDL
11 October 2023,19.2934 MDL
12 October 2023,19.2811 MDL
13 October 2023,19.2509 MDL
14 October 2023,19.2509 MDL
15 October 2023,19.2509 MDL
16 October 2023,19.0289 MDL
17 October 2023,19.0484 MDL
18 October 2023,19.1538 MDL
19 October 2023,19.1635 MDL
20 October 2023,19.2140 MDL
21 October 2023,19.2140 MDL
22 October 2023,19.2140 MDL
23 October 2023,19.2839 MDL
24 October 2023,19.3376 MDL
25 October 2023,19.3432 MDL
26 October 2023,19.1997 MDL
27 October 2023,19.0875 MDL
28 October 2023,19.0875 MDL
29 October 2023,19.0875 MDL
30 October 2023,19.1200 MDL
31 October 2023,19.2190 MDL
